【招聘会】东华大学2016届毕业生春季供需洽谈会
2016-03-15 东华就业


本次招聘会有几百家优质企业前来参展，多数企业是针对东华大学现有的专业量身打造，我校的学生和提供的岗位较以往匹配度更高，希望工作还没确定，正在苦苦寻觅的同学准时参加！“心动不如行动，工作就在这里！适合你的就是最好的，你来~~就有机会！！！”
洽谈会时间
 2016年3月17日（周四）下午14:00-16:00
地点：东华松江体育馆
本次洽谈会分为两个洽谈区域
洽谈会1 机械、信息、计算机、环境、理学类专场
洽谈会区域1一览

序号 单位名称 区域
3 东方国际集团上海东松医疗科技有限公司 1
4 上海埃林哲软件系统股份有限公司 1
5 上海格尔软件股份有限公司 1
6 沃茨（上海）管理有限公司 1
7 上海美特斯邦威服饰股份有限公司 1
8 江苏宜城投资有限公司上海长宁分公司 1
11 上海微肯网络科技有限公司 1
12 上海大唐移动通信设备有限公司 1
13 上海沃锐人力资源有限公司 1
14 招商地产上海公司 1
15 上海佳明航电企业管理有限公司 1
16 上海维科精密模塑有限公司 1
17 北京尚诚知识产权代理有限公司上海分公司 1
21 银联商务有限公司上海分公司 1
22 上海星孚文化传播有限公司 1
23 上海奕盛软件有限公司 1
24 上海百傲科技股份有限公司 1
25 上海科辰光电线缆设备有限公司 1
27 德佑房地产经纪有限公司 1
28 同策房产咨询股份有限公司 1
29 上海东湖机械厂（中国人民解放军四八零五工厂工厂军械修理厂） 1
32 上海诺勤信息科技有限公司 1
33 上海树道国际咨询有限公司 1
34 南京万宽文化传媒有限公司上海分公司 1
35 上海胜蓝信息技术服务有限公司 1
37 赛捷软件（上海）有限公司 1
38 卡斯马汽车系统（上海）有限公司 1
54 上海欧萨评价咨询股份有限公司 1
56 上海博达数据通信有限公司 1
57 上海生厚资产管理有限公司 1
58 上海上满网络科技有限公司 1
61 上海瞬赢投资管理有限公司 1
66 上海埃姆哈特紧固系统有限公司 1
67 上海城市超市有限公司 1
68 上海奥狮网络科技有限公司 1
72 上海五星健康管理咨询有限公司 1
74 上海船舶运输科学研究所 1
75 上海伯俊软件科技有限公司 1
76 康迪电动汽车（上海）有限公司 1
77 上海朗彤企业形象策划有限公司 1
79 杭州前进齿轮箱集团股份有限公司 1
80 上海一嗨汽车租赁有限公司 1
81 塔塔信息技术（中国）股份有限公司 1
83 上海振华重工（集团）股份有限公司 1
84 交通银行信用卡中心 1
85 上海瑞界网络科技有限公司 1
90 上海悦华物流有限公司 1
94 国信证券股份有限公司上海分公司 1
95 上海嘉道信息技术有限公司 1
97 上海沙英展览服务有限公司 1
98 临诺企业管理咨询(上海)有限公司 1
99 上海兆越通讯技术有限公司 1
101 意力速(上海)电子技术研发有限公司 1
103 上海长园电子材料有限公司 1
104 上海优唯市场研究咨询有限公司 1
105 上海海雁医药科技有限公司 1
106 上海财安金融服务股份有限公司 1
107 上海诣学文化传媒有限公司 1
108 上海日立电器有限公司 1
110 北京沐融信息科技有限公司 1
112 福建福诺移动通信技术有限公司 1
113 上海建浩工程顾问有限公司 1
114 上海中信信息发展股份有限公司 1
115 天马微电子股份有限公司 1
117 上海三思电子工程有限公司 1
118 上海航空电器有限公司 1
120 上海恒信电脑软件有限公司 1
123 上海阑途信息技术有限公司 1
124 北京迪文科技有限公司 1
125 北京依依科技有限公司 1
128 上海瀛宇通信有限公司 1
129 上海衡海投资管理有限公司 1
130  上海伊文科技有限公司 1
131 上海致维信息技术有限公司 1
132 上海建工四建集团有限公司 1
133 上海昂立教育培训有限公司 1
139 上海华章信息科技有限公司 1
140 上海海鼎信息工程股份有限公司 1
141 上海昂迪文化传播有限公司 1
144 上海柏楚电子科技有限公司 1
146 康奈可(上海)汽车技术研发有限公司 1
148 上海津衡投资管理有限公司 1
151 上海宝信软件股份有限公司 1
153 江苏宜诚投资有限公司上海长宁分公司 1
154 致胜盈彩网络科技公司 1
156 上海黄金搭档生物科技有限公司 1
158 上海创为信息科技有限公司 1
160 上海贵宏投资管理有限公司 1
161 上海北汇信息科技有限公司 1
163 上海艾付网络信息科技有限公司 1
164 上海华讯网络系统有限公司 1
166 上海孚厘金融信息服务有限公司 1
167 上海腾盛智能交通技术有限公司 1
169 电装(上海)信息技术有限公司 1
170 威沃企业管理咨询(上海)有限公司 1
171 上海今智塔教育科技股份有限公司 1
172 京滨电子装置研究开发(上海)有限公司 1
175 徽商期货有限责任公司上海盛夏路营业部 1
177 上海明匠智能系统有限公司 1
182 乾康(上海)金融信息服务有限公司 1
184 索特自控系统(北京)有限公司 1
185 上海和宗焊接设备制造有限公司 1
186 上海爱韦讯信息技术有限公司 1
187 上海安绚信息科技有限公司 1
189 望洲财富投资管理有限公司 1
190 北京利众得应用技术有限公司上海分公司 1
191 上海学而思教育信息咨询有限公司 1
193 上海海隆软件股份有限公司 1
194 上海亿翰商务咨询有限公司 1
195 上海有色网信息科技有限公司 1
196 广州市上赫服饰有限公司 1
200 上海别智教育信息咨询有限公司 1
201 上海基瑞企业管理咨询有限公司 1
203 上海即信信息科技有限公司 1
204 上海蓝瑞电气有限公司 1
205 上海铧发创盛置业有限公司 1
206 上海啊璞文化传播有限公司 1
209 上海易阳航空服务有限公司 1
210 中信建投期货有限公司 1
213 上海谋乐科技有限公司 1
215 宁波华仪宁创智能科技有限公司 1
216 上海积成慧集信息技术有限公司 1
218 新特能源股份有限公司 1
219 上海飞粤贸易有限公司 1
220 宁波拓普集团股份有限公司 1
221 广州虹科电子科技有限公司上海分公司 1
222 上海富驰高科技有限公司 1
226 上海保国电子设备有限公司 1
230 上海波导信息技术有限公司 1
232 上海宝宏软件有限公司 1
234 中国人寿保险股份有限公司上海市分公司 1
235 同程网络科技股份有限公司 1
236 埃森哲(中国)有限公司 1
238 上海汽车变速器有限公司 1
239 北京信安世纪科技有限公司 1
240 上海网罗电子科技有限公司 1
241 商泰软件(上海)有限公司 1
243 东方有线网络有限公司 1
244 扬州神镜软件科技有限公司 1
248 上海三宇企业管理咨询有限公司 1
250 首都在线信息科技(上海)有限公司 1
251 通联支付网络服务股份有限公司 1
253 北京天道恒信咨询有限公司上海分公司 1
254 上海新力机器厂 1
255 上海随时信息科技有限公司 1
256 北京睿至大数据有限公司 1
258 中天科技集团有限公司 1
259 广东睿江科技有限公司上海分公司 1
263 扬子江快运航空有限公司 1
266 上海海特克液压动力设备有限公司 1
268 浦发银行上海分行松江支行 1
270 上海安托信息技术有限公司 1
271 北京东方国信科技股份有限公司 1
272 电信科学技术第一研究所 1
273 上海民航职业技术学院 1
274 上海康成生物工程有限公司 1
275 上海美瑞实业有限公司 1
276 东航金控有限责任公司 1
278 上海好屋网信息技术有限公司 1
279 中国太平洋人寿保险股份有限公司上海分公司 1
280 上海东润换热设备制造有限公司 1
281 平安养老保险股份有限公司上海分公司 1
282 闻泰医疗科技(上海)有限公司 1
284 中青旅上海国际旅行社有限公司 1
285 常州数赢云网络科技有限公司 1
286 上海华元创信软件有限公司 1
287 上海大观股权投资基金有限公司 1
341 雾的池内（上海）贸易有限公司 1
342 中国电信股份有限公司上海分公司 1
343 上海亮达塑胶有限公司 1
344 励为网络科技（上海）有限公司 1
345 上海律云科技有限公司 1
347 上海亿通国际股份有限公司 1
348 上海纵游网络技术有限公司 1
349 上海飞科电器股份有限公司 1
350 上海华燕房盟网络科技股份有限公司 1
352 中国东方航空股份有限公司 1
353 浙江大华技术股份有限公司 1
354 上海紫越网络科技股份有限公司 1
357 上海电力建设启动调整试验所 1
358 上海徕木电子股份有限公司 1
288 上海漕河泾新兴技术开发区本部 1
289 上海漕河泾开发区枫泾新兴产业发展有限公司 1
