【招聘会】东华大学2016届毕业生春季供需洽谈会（延安路）
2016-03-23 东华就业

东华大学2016届毕业生春季供需洽谈会（延安路）

本次招聘会是针对东华大学同学量身打造，分为经管、人文类和服装、纺织、化工类专场，同时也涉及到了其他理工类的招聘岗位，企业对东华大学的学生求贤若渴，同学们行动起来去寻找未来属于自己的天地！
招聘会时间
2016年3月24日（周四）下午14:00-16:00
 
地点
东华大学（延安西路1882号，东华大学体育馆）


服装、纺织、化工类（企业名单一览）
序号 单位名称
1 上海美特斯邦威服饰股份有限公司
2 上海雪芙日用品有限公司
3 上海集丝坊国际贸易有限公司
4 上海柏菲工业产品设计有限公司
5 上海杰帝梵服饰有限公司
6 飒拉商业（上海）有限公司
7 上海子沁贸易有限公司
8 上海风格服饰有限公司
9 东方国际集团上海市纺织品进出口有限公司
10 浙江卓诗尼控股有限公司
11 上海劲购电子商务有限公司
12 上海卓卡贸易有限公司
13 上海形家广告设计有限公司
14 陶丽西(苏州)陶瓷釉色料有限公司
15 上海申达进出口有限公司 
16 浙江舒工坊针纺有限公司
17 江苏苏美达轻纺国际贸易有限公司
18 领御(上海)信息技术有限公司
19 上海协大国际贸易有限公司
20 上海亦品文化传播有限公司
21 上海彧墨网络科技有限公司
22 上海拉飞逸实业有限公司
23 上海艾的文化传播有限公司浦东分公司
24 滔搏投资(上海)有限公司
25 上海亭东影业有限公司
26 临诺企业管理咨询(上海)有限公司
27 裘格(上海)服饰有限公司
28 上海米库商务咨询有限公司
29 大千(上海)影业有限公司
30 上海三枪(集团)有限公司
31 上海东方国际创业品牌管理股份有限公司
32 上海泰美国际旅行社有限公司
33 通卡包装服务(上海)有限公司
34 上海宝奢嘉信息科技有限公司
35 上海亦谷时装有限公司
36 上海剧品电子商务有限公司
37 苏州万丽织造有限公司
38 奥琛实业(上海)有限公司
39 扬州神镜软件科技有限公司
40 鹏卫齐商业(上海)有限公司
41 乾玺贸易(上海)有限公司
42 上海九观企业策划有限公司
43 波兰爱尔普股份公司上海代表处
44 上海睿秀电子商务有限公司
45 上海逸尚信息咨询有限公司
46 厦门七匹狼针纺有限公司
47 上海予智服饰有限公司
48 山东舒朗服装服饰股份有限公司
49 上海力魄实业有限公司

经管、人文类（企业名单一览）
序号 单位名称
1 东方国际集团上海东松医疗科技有限公司
2 上海埃林哲软件系统股份有限公司
3 上海金鹿财行财富投资管理有限公司
4 上海梅洛体育文化传播有限公司
5 江苏宜城投资有限公司上海长宁分公司
6 招商地产上海公司
7 银联商务有限公司上海分公司
8 深圳平安综合金融服务有限公司
9 上海若源新型建筑材料有限公司
10 同策房产咨询股份有限公司
11 上海微肯网络科技有限公司
12 上海树道国际咨询有限公司
13 上海市浦东新区房地产（集团）有限公司
14 上海牯牛包装设计有限公司
15 上海市民信箱信息服务有限公司
16 恒源祥（集团）有限公司
17 上海丝绸集团品牌发展有限公司
18 旭信财富（上海）金融信息服务有限公司
19 兴业银行股份有限公司
20 上海瞬赢投资管理有限公司
21 沪东中华造船（集团）有限公司
22 上海统一星巴克咖啡有限公司
23 高等教育出版社上海出版事业部
24 上海哲基公共关系咨询服务有限公司
25 上海啸金实业有限公司
26 上海振华重工（集团）股份有限公司
27 上海瑞界网络科技有限公司
28 法兰克福展览（上海）有限公司
29 保利置业集团（上海）投资有限公司
30 新东方教育科技集团上海学校
31 坤昀（上海）投资管理有限公司
32 上海诺尔国际物流有限公司
33 中国人寿保险股份有限公司上海分公司
34 上海开卓企业管理咨询有限公司
35 上海好伯人力资源咨询有限公司
36 兴业银行股份有限公司信用卡中心
37 上海民航职业技术学院
38 上海亿翰商务咨询股份有限公司
39 上海兴博体育咨询有限公司
40 上海大观股权投资基金有限公司
41 上海广尧商务咨询有限公司
42 北京世纪好未来教育科技有限公司
43 上海华燕房盟网络科技股份有限公司
44 科博留学服务有限公司
45 上海磐石保险代理有限公司
46 微服（上海）商务咨询有限公司
47 上海华昂商务咨询有限公司
48 上海普兰金融服务有限公司
49 上海函仪医疗科技有限公司
50 上海优胜资产管理有限公司
51 美国管理协会（中国）
52 上海地邦实业有限公司
53 上海速翼网络科技有限公司
54 上海有色网信息科技有限公司
55 上海贝泰妮生物科技有限公司
56 上海连理枝资产管理有限公司
57 上海律云科技有限公司
58 威沃企业管理咨询(上海)有限公司
59 浙江物产国际贸易有限公司
60 竹园国际旅行社有限公司上海分社
61 徽商期货有限责任公司上海盛夏路营业部
62 上海黄金搭档生物科技有限公司
63 上海优唯市场研究咨询有限公司
64 上海随时信息科技有限公司
65 上海雅仕居地毯有限公司
66 上海昂立智立方教育培训有限公司
67 上海贸促展示设计工程有限公司
68 北京中公未来教育咨询有限公司上海分公司
69 上海昂立教育培训有限公司
70 北京慧辰资道资讯股份有限公司
71 上海中信信息发展股份有限公司
72 上海亿翰商务咨询有限公司
73 上海孚厘金融信息服务有限公司
74 潮域投资咨询(上海)有限公司
75 北京立德未来助学公益基金会
76 鼎捷软件股份有限公司
77 上海易贸商务发展有限公司
78 恩梯梯通信系统(中国)有限公司
79 上海千钟粟投资管理有限公司
80 厦门国际银行股份有限公司上海分行
81 宁波银行股份有限公司上海普陀支行
82 央视国际网络无锡有限公司
83 上海财安金融服务股份有限公司
84 思必力商务咨询(上海)有限公司
85 旭信财富(上海)金融信息服务有限公司
86 上海汇金百货有限公司
87 广州市天诺营销策划有限公司上海勤正营销策划分公司
